regions,Державна екологічна інспекція України,Державна служба України з безпеки на транспорті,Державна служба України з лікарських засобів та контролю за наркотиками,Державна служба України з надзвичайних ситуацій,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,"Державна служба України з питань геодезії, картографії та кадастру",Державна служба України з питань праці,Державна служба України з питань якості освіти,Державне агентство рибного господарства України,Одеська обласна державна адміністрація,Пенсійний фонд України,Управління державного архітектурно-будівельного контролю органів місцевого самоврядування
Дніпропетровська,47.0,,8.0,130.0,109.0,31.0,117.0,17.0,,,22.0,8.0
Харківська,34.0,2.0,11.0,138.0,90.0,38.0,87.0,4.0,2.0,,13.0,5.0
Київська,,,9.0,61.0,133.0,42.0,90.0,,,,33.0,7.0
Одеська,29.0,,9.0,75.0,110.0,30.0,86.0,,,4.0,18.0,6.0
Львівська,52.0,,8.0,70.0,60.0,20.0,86.0,5.0,12.0,,11.0,13.0
Сумська,64.0,2.0,5.0,57.0,79.0,15.0,50.0,,,,22.0,2.0
Житомирська,,,13.0,55.0,128.0,22.0,50.0,12.0,3.0,,5.0,2.0
Вінницька,33.0,,5.0,68.0,92.0,31.0,32.0,,,,13.0,6.0
Хмельницька,27.0,,5.0,52.0,92.0,19.0,43.0,,6.0,,16.0,3.0
Запорізька,32.0,2.0,8.0,81.0,51.0,8.0,53.0,,,,14.0,5.0
Миколаївська,44.0,,3.0,53.0,72.0,15.0,40.0,,,,12.0,7.0
Полтавська,,2.0,6.0,74.0,57.0,23.0,65.0,,,,5.0,5.0
Кіровоградська,29.0,,4.0,49.0,94.0,19.0,33.0,,,,3.0,5.0
Чернігівська,31.0,,3.0,52.0,55.0,21.0,33.0,,3.0,,21.0,9.0
Волинська,44.0,4.0,5.0,40.0,59.0,15.0,39.0,,2.0,,13.0,2.0
Тернопільська,30.0,,8.0,34.0,80.0,21.0,31.0,11.0,,,1.0,6.0
Івано-франківська,,,6.0,43.0,62.0,18.0,41.0,,6.0,,14.0,6.0
Черкаська,,,5.0,51.0,73.0,15.0,32.0,,2.0,,10.0,2.0
Херсонська,24.0,,4.0,49.0,57.0,14.0,32.0,,4.0,,4.0,
Закарпатська,34.0,,5.0,44.0,42.0,18.0,22.0,,8.0,,10.0,
Київ,,,11.0,98.0,51.0,3.0,,,7.0,,7.0,1.0
Рівненська,,,3.0,36.0,72.0,20.0,40.0,,3.0,,3.0,
Чернівецька,,,3.0,34.0,70.0,20.0,20.0,,5.0,,14.0,2.0
Луганська,26.0,,4.0,,,4.0,,,,,,
Донецька,,,4.0,,,13.0,,,,,,
